,nodes
340068921,"[3472769741, 3472769724, 3472769726, 3472769705, 3472769699, 3472769727, 3472769734, 3486696600, 3472769728, 3472769732, 3486696648, 3472769733, 3472769706, 3472769285, 3472769710, 3472769717, 3472769286, 3472769289, 3472769701]"
340068922,"[3472769701, 3472769713, 3472769746, 3472769752, 3472769781, 3472769787, 3472769789, 3472769793, 3472769796, 3472769799, 3472769804, 3472769807, 3472769813, 3472769817, 3472769827, 3472769830, 3472769833]"
340068935,"[3472769701, 3472769266, 3472769268, 3472769261, 3472769263, 3472769273, 3472769276, 3472769290, 3472769696, 3472769277, 3494650018, 3472769279, 3472769694, 3472769711, 3472769720, 3472769751, 3472769753, 3472769749, 3472769750, 3472769760, 3472769777, 3472769778, 3472769776, 3472769762, 3472769764, 3472769775, 3472769772, 3472769767, 3472769774, 3472769763, 3472769765, 3472769770, 3472769766, 3472769759, 3472769747, 3472769754]"
340068941,"[3472769475, 3481146861, 3472769484, 3472769497, 3472769498, 3472769504, 3472769507, 3472769509, 3472769514, 3472769515, 3472769517, 3472769519, 3472769524, 3472769525, 3472769532, 3472769550, 3472769576, 3472769564, 3472769555, 3472769549, 3472769562, 3472769547, 3472769546, 3472769561, 3472769568, 3472769560, 3472769558, 3472769575, 3472769574, 3472769581, 3472769582, 3472769599, 3472769600, 3472769603, 3472769596, 3472769594, 3472769584, 3472769585, 3472769597, 3472769607, 3472769616, 3472769622, 3472769624, 3472769645, 3472769649, 3472769247, 3472769253, 3472769258, 3472769292, 3472769754]"
340068915,"[3472769470, 3481110596, 3472769469, 3472769474, 3479049683, 3506734259, 3472769482, 3472769473, 3472769462, 3472769451, 3472769449, 3173000331, 3472769465, 3472769464, 3472769478, 3472769471, 3472769475]"
340068942,"[3472769754, 3472769769, 3472769780, 3472769785, 3461496239]"
340068914,"[3472769833, 3472769831, 3472769828, 3534008047, 3534009484, 3472769829, 3472769832, 3472769837, 3472769841, 3472769845, 3472769848, 3472769855, 3472769858, 3472769872]"
340068929,"[3461496260, 5211161765, 3472769889, 3472769895, 3472769894, 3472769891, 3472769892, 3472769899, 3472769900, 3472769898, 3491277765, 3472769896, 3472769893, 3472769890, 3472769883, 3472769882, 3472769886, 3472769885, 3472769880, 3472769879, 3472769876, 3472769877, 3472769875, 3472769874, 3472769872]"
340068916,"[3461496239, 3461496242, 3461496249, 3461496252, 5211231322, 3461496253, 3461496254, 3461496255, 3461496257, 3461496256, 3345662201]"
538372647,"[3345662201, 3461496258, 3461496260]"
